name,type,value,date
皇家社会,Real Sociedad,26,20
巴伦西亚,Valencia?,26,20
莱万特,Levante,26,20
埃瓦尔,Eibar,25,20
赫罗纳,Girona,24,20
西班牙人,RCD Espanyol,24,20
毕尔巴鄂竞技,Athletic Bilbao,23,20
莱加内斯,Leganes,22,20
瓦拉多利德,Real Valladolid,22,20
塞尔塔,Celta Vigo,21,20
巴列卡诺,Rayo Vallecano,20,20
比利亚雷亚尔,Villarreal,18,20
韦斯卡,SD Huesca,11,20
巴塞罗那,FC Barcelona,49,21
马德里竞技,Atletico Madrid,44,21
皇家马德里,Real Madrid,39,21
塞维利亚,Sevilla,36,21
阿拉维斯,Alves Sales,32,21
赫塔菲,Getafe,31,21
巴伦西亚,Valencia?,29,21
皇家贝蒂斯,Real Betis,29,21
皇家社会,Real Sociedad,27,21
埃瓦尔,Eibar,26,21
毕尔巴鄂竞技,Athletic Bilbao,26,21
莱万特,Levante,26,21
瓦拉多利德,Real Valladolid,25,21
赫罗纳,Girona,24,21
西班牙人,RCD Espanyol,24,21
莱加内斯,Leganes,23,21
巴列卡诺,Rayo Vallecano,23,21
塞尔塔,Celta Vigo,21,21
比利亚雷亚尔,Villarreal,18,21
韦斯卡,SD Huesca,12,21
巴塞罗那,FC Barcelona,50,22
马德里竞技,Atletico Madrid,44,22
皇家马德里,Real Madrid,42,22
塞维利亚,Sevilla,36,22
赫塔菲,Getafe,32,22
皇家贝蒂斯,Real Betis,32,22
阿拉维斯,Alves Sales,32,22
巴伦西亚,Valencia?,30,22
皇家社会,Real Sociedad,30,22
埃瓦尔,Eibar,29,22
莱万特,Levante,27,22
毕尔巴鄂竞技,Athletic Bilbao,26,22
莱加内斯,Leganes,26,22
瓦拉多利德,Real Valladolid,25,22
西班牙人,RCD Espanyol,25,22
塞尔塔,Celta Vigo,24,22
赫罗纳,Girona,24,22
巴列卡诺,Rayo Vallecano,23,22
比利亚雷亚尔,Villarreal,19,22
韦斯卡,SD Huesca,15,22
巴塞罗那,FC Barcelona,51,23
皇家马德里,Real Madrid,45,23
马德里竞技,Atletico Madrid,44,23
塞维利亚,Sevilla,37,23
赫塔菲,Getafe,35,23
阿拉维斯,Alves Sales,35,23
皇家贝蒂斯,Real Betis,32,23
巴伦西亚,Valencia?,31,23
皇家社会,Real Sociedad,31,23
埃瓦尔,Eibar,30,23
莱加内斯,Leganes,29,23
西班牙人,RCD Espanyol,28,23
毕尔巴鄂竞技,Athletic Bilbao,27,23
莱万特,Levante,27,23
瓦拉多利德,Real Valladolid,26,23
塞尔塔,Celta Vigo,24,23
赫罗纳,Girona,24,23
巴列卡诺,Rayo Vallecano,23,23
比利亚雷亚尔,Villarreal,20,23
韦斯卡,SD Huesca,18,23
巴塞罗那,FC Barcelona,54,24
马德里竞技,Atletico Madrid,47,24
皇家马德里,Real Madrid,45,24
塞维利亚,Sevilla,37,24
赫塔菲,Getafe,36,24
阿拉维斯,Alves Sales,36,24
皇家社会,Real Sociedad,34,24
皇家贝蒂斯,Real Betis,33,24
巴伦西亚,Valencia?,32,24
埃瓦尔,Eibar,31,24
毕尔巴鄂竞技,Athletic Bilbao,30,24
莱万特,Levante,30,24
莱加内斯,Leganes,29,24
西班牙人,RCD Espanyol,29,24
赫罗纳,Girona,27,24
瓦拉多利德,Real Valladolid,26,24
塞尔塔,Celta Vigo,24,24
比利亚雷亚尔,Villarreal,23,24
巴列卡诺,Rayo Vallecano,23,24
韦斯卡,SD Huesca,18,24
巴塞罗那,FC Barcelona,57,25
马德里竞技,Atletico Madrid,50,25
皇家马德里,Real Madrid,48,25
赫塔菲,Getafe,39,25
塞维利亚,Sevilla,37,25
